year,region,sport,sport category,medal
1936,Estonia,Athletics,Multi-Discipline,
1998,Estonia,Cross Country Skiing,Skiing Events,
1998,Estonia,Cross Country Skiing,Skiing Events,
2002,Estonia,Cross Country Skiing,Skiing Events,
2002,Estonia,Cross Country Skiing,Skiing Events,
2002,Estonia,Cross Country Skiing,Skiing Events,
2004,Estonia,Athletics,Multi-Discipline,
2008,Estonia,Athletics,Multi-Discipline,
1992,Estonia,Wrestling,Combat Sports,
1996,Estonia,Wrestling,Combat Sports,
2016,Azerbaijan,Taekwondo,Combat Sports,Bronze
2008,Russia,Athletics,Multi-Discipline,Silver
2012,Russia,Athletics,Multi-Discipline,
2004,Belarus,Canoeing,Paddling Sports,
2008,Belarus,Canoeing,Paddling Sports,Gold
1964,Georgia,Wrestling,Combat Sports,
1980,Georgia,Athletics,Multi-Discipline,
2004,Russia,Cycling,Cycling,Silver
2004,Russia,Cycling,Cycling,
2008,Azerbaijan,Athletics,Multi-Discipline,
2008,Azerbaijan,Swimming,Aquatics,
2000,Azerbaijan,Weightlifting,Miscellaneous,
2016,Kazakhstan,Boxing,Combat Sports,
1972,Russia,Wrestling,Combat Sports,Gold
2016,Azerbaijan,Boxing,Combat Sports,
1996,Azerbaijan,Wrestling,Combat Sports,
2000,Azerbaijan,Wrestling,Combat Sports,
1996,Uzbekistan,Boxing,Combat Sports,
2000,Uzbekistan,Boxing,Combat Sports,Gold
2012,Uzbekistan,Wrestling,Combat Sports,
2016,Uzbekistan,Wrestling,Combat Sports,
1996,Azerbaijan,Wrestling,Combat Sports,Silver
2000,Azerbaijan,Wrestling,Combat Sports,Gold
2004,Azerbaijan,Wrestling,Combat Sports,
2012,Azerbaijan,Athletics,Multi-Discipline,
2008,Azerbaijan,Wrestling,Combat Sports,
2004,Uzbekistan,Boxing,Combat Sports,
2008,Kyrgyzstan,Taekwondo,Combat Sports,
2012,Kyrgyzstan,Taekwondo,Combat Sports,
2016,Uzbekistan,Wrestling,Combat Sports,
2016,Tajikistan,Judo,Combat Sports,
2016,Russia,Boxing,Combat Sports,
2004,Tajikistan,Wrestling,Combat Sports,
2008,Tajikistan,Wrestling,Combat Sports,Silver
2012,Tajikistan,Wrestling,Combat Sports,
1992,Russia,Athletics,Multi-Discipline,Gold
2000,Uzbekistan,Athletics,Multi-Discipline,
1988,Uzbekistan,Cycling,Cycling,
1996,Uzbekistan,Cycling,Cycling,
2004,Kyrgyzstan,Boxing,Combat Sports,
2016,Armenia,Boxing,Combat Sports,
2008,Kazakhstan,Judo,Combat Sports,
2008,Russia,Athletics,Multi-Discipline,
2004,Azerbaijan,Boxing,Combat Sports,
2002,Ukraine,Freestyle Skiing,Skiing Events,
2006,Ukraine,Freestyle Skiing,Skiing Events,
2010,Ukraine,Freestyle Skiing,Skiing Events,
2012,Russia,Gymnastics,Gymnastics,
2012,Russia,Gymnastics,Gymnastics,Bronze
2012,Russia,Gymnastics,Gymnastics,Silver
2012,Russia,Gymnastics,Gymnastics,
2012,Russia,Gymnastics,Gymnastics,
2012,Russia,Gymnastics,Gymnastics,
2016,Russia,Gymnastics,Gymnastics,Silver
2016,Russia,Gymnastics,Gymnastics,
2016,Russia,Gymnastics,Gymnastics,Silver
2016,Russia,Gymnastics,Gymnastics,Bronze
1972,Russia,Swimming,Aquatics,
1972,Russia,Swimming,Aquatics,Silver
1972,Russia,Swimming,Aquatics,Bronze
1972,Russia,Swimming,Aquatics,
1998,Latvia,Alpine Skiing,Skiing Events,
2014,Latvia,Alpine Skiing,Skiing Events,
2014,Latvia,Alpine Skiing,Skiing Events,
2014,Latvia,Alpine Skiing,Skiing Events,
2006,Georgia,Alpine Skiing,Skiing Events,
2006,Georgia,Alpine Skiing,Skiing Events,
2010,Georgia,Alpine Skiing,Skiing Events,
2010,Georgia,Alpine Skiing,Skiing Events,
2014,Georgia,Alpine Skiing,Skiing Events,
2014,Georgia,Alpine Skiing,Skiing Events,
2016,Belarus,Athletics,Multi-Discipline,
2006,Ukraine,Freestyle Skiing,Skiing Events,
2010,Ukraine,Freestyle Skiing,Skiing Events,
2014,Ukraine,Freestyle Skiing,Skiing Events,
2010,Belarus,Biathlon,Skiing Events,
2010,Belarus,Biathlon,Skiing Events,
2010,Belarus,Biathlon,Skiing Events,
2010,Belarus,Biathlon,Skiing Events,
2014,Belarus,Biathlon,Skiing Events,
2014,Belarus,Biathlon,Skiing Events,
2014,Belarus,Biathlon,Skiing Events,
2014,Belarus,Biathlon,Skiing Events,
2014,Belarus,Biathlon,Skiing Events,
