id,name,sex,age,height,weight,team,noc,games,year,season,city,sport,event,medal,region,bmi,sport_category,Female_M,Male_M,Female_P,Male_P
31,Evald rma (rman-),M,24.0,174.0,70.0,Estonia,EST,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Pole Vault,,Estonia,23.1,Combined,0,8,0.0,100.0
44,Meelis Aasme,M,25.0,182.0,73.0,Estonia,EST,1998 Winter,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing 30 Kilometres,,Estonia,22.0,Skiing,12,33,26.67,73.33
44,Meelis Aasme,M,25.0,182.0,73.0,Estonia,EST,1998 Winter,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing 50 Kilometres,,Estonia,22.0,Skiing,12,33,26.67,73.33
44,Meelis Aasme,M,29.0,182.0,73.0,Estonia,EST,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing 15 Kilometres,,Estonia,22.0,Skiing,10,40,20.0,80.0
44,Meelis Aasme,M,29.0,182.0,73.0,Estonia,EST,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing 50 Kilometres,,Estonia,22.0,Skiing,10,40,20.0,80.0
44,Meelis Aasme,M,29.0,182.0,73.0,Estonia,EST,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing 4 X 10 Kilometres Relay,,Estonia,22.0,Skiing,10,40,20.0,80.0
49,Moonika Aava,F,24.0,168.0,65.0,Estonia,EST,2004 Summer,2004,Summer,Athina,Athletics,Athletics Javelin Throw,,Estonia,23.0,Combined,4,12,25.0,75.0
49,Moonika Aava,F,28.0,168.0,65.0,Estonia,EST,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Javelin Throw,,Estonia,23.0,Combined,5,10,33.33,66.67
50,Arvi Aavik,M,22.0,185.0,106.0,Estonia,EST,1992 Summer,1992,Summer,Barcelona,Wrestling,"Wrestling Heavyweight, Freestyle",,Estonia,31.0,Combat,0,5,0.0,100.0
50,Arvi Aavik,M,26.0,185.0,106.0,Estonia,EST,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Heavyweight, Freestyle",,Estonia,31.0,Combat,0,5,0.0,100.0
65,Patimat Abakarova,F,21.0,165.0,49.0,Azerbaijan,AZE,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Flyweight,Bronze,Azerbaijan,18.0,Combat,6,29,17.14,82.86
67,Mariya Vasilyevna Abakumova (-Tarabina),F,22.0,179.0,80.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Javelin Throw,Silver,Russia,25.0,Combined,74,51,59.2,40.8
67,Mariya Vasilyevna Abakumova (-Tarabina),F,26.0,179.0,80.0,Russia,RUS,2012 Summer,2012,Summer,London,Athletics,Athletics Javelin Throw,,Russia,25.0,Combined,69,46,60.0,40.0
72,Aleksey Aleksandrovich Abalmasov,M,24.0,180.0,83.0,Belarus,BLR,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Kayak Fours, 1,000 Metres",,Belarus,25.6,Paddling,9,16,36.0,64.0
72,Aleksey Aleksandrovich Abalmasov,M,28.0,180.0,83.0,Belarus,BLR,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Kayak Fours, 1,000 Metres",Gold,Belarus,25.6,Paddling,4,22,15.38,84.62
87,Rost'om Omeris dze Abashidze,M,29.0,188.0,97.0,Soviet Union,GEO,1964 Summer,1964,Summer,Tokyo,Wrestling,"Wrestling Light-Heavyweight, Greco-Roman",,Georgia,27.4,Combat,0,9,0.0,100.0
88,Nunu Dzhansuhivna Abashydze (-Myslaieva),F,25.0,168.0,105.0,Soviet Union,GEO,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Shot Put,,Georgia,37.2,Combined,1,1,50.0,50.0
90,Tamila Rashidovna Abasova,F,21.0,163.0,60.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Cycling,Cycling Sprint,Silver,Russia,22.6,Cycling,13,16,44.83,55.17
90,Tamila Rashidovna Abasova,F,21.0,163.0,60.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Cycling,Cycling 500 Metres Time Trial,,Russia,22.6,Cycling,13,16,44.83,55.17
129,Ruslan Abbasov,M,22.0,181.0,74.0,Azerbaijan,AZE,2008 Summer,2008,Summer,Beijing,Athletics,Athletics 100 Metres,,Azerbaijan,22.6,Combined,0,2,0.0,100.0
130,Tural Abbasov,M,18.0,182.0,76.0,Azerbaijan,AZE,2008 Summer,2008,Summer,Beijing,Swimming,Swimming 50 Metres Freestyle,,Azerbaijan,22.9,Aquatics,1,1,50.0,50.0
131,Tran Abbasova,F,33.0,159.0,53.0,Azerbaijan,AZE,2000 Summer,2000,Summer,Sydney,Weightlifting,Weightlifting Featherweight,,Azerbaijan,21.0,Miscellaneous,1,5,16.67,83.33
272,Berik Abdrakhmanov,M,30.0,165.0,60.0,Kazakhstan,KAZ,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Lightweight,,Kazakhstan,22.0,Combat,10,23,30.3,69.7
316,Zagalav Abdulbekovich Abdulbekov,M,26.0,160.0,62.0,Soviet Union,RUS,1972 Summer,1972,Summer,Munich,Wrestling,"Wrestling Featherweight, Freestyle",Gold,Russia,24.2,Combat,0,29,0.0,100.0
335,Abdulqdir Abdullayev,M,28.0,188.0,91.0,Azerbaijan,AZE,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Heavyweight,,Azerbaijan,25.7,Combat,6,29,17.14,82.86
336,Arif Yadulla Abdullayev,M,27.0,164.0,60.0,Azerbaijan,AZE,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Bantamweight, Freestyle",,Azerbaijan,22.3,Combat,1,12,7.69,92.31
336,Arif Yadulla Abdullayev,M,32.0,164.0,60.0,Azerbaijan,AZE,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Featherweight, Freestyle",,Azerbaijan,22.3,Combat,1,17,5.56,94.44
337,Mukhammad Kadyr Abdullayev,M,22.0,169.0,63.0,Uzbekistan,UZB,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Lightweight,,Uzbekistan,22.1,Combat,0,24,0.0,100.0
